,accuracy,clf,f1_score,iterations,precision,recall,sorted_by,uncover_percentage
61,0.9174311926605505,AdaBoostClassifier,0.3189792663476874,25.0,0.30581039755351686,0.3333333333333333,degree,0.35
62,0.926605504587156,RandomForestClassifier,0.32063492063492066,25.0,0.308868501529052,0.3333333333333333,closeness,0.35
63,0.926605504587156,AdaBoostClassifier,0.32063492063492066,25.0,0.308868501529052,0.3333333333333333,closeness,0.35
64,0.7798165137614679,RandomForestClassifier,0.2951388888888889,25.0,0.3079710144927536,0.2833333333333333,betweenness,0.35
65,0.908256880733945,AdaBoostClassifier,0.4656988646938396,25.0,0.46548821548821545,0.47333333333333333,betweenness,0.35
66,0.908256880733945,RandomForestClassifier,0.3173076923076923,25.0,0.3055555555555555,0.33,pagerank,0.35
67,0.5779816513761468,AdaBoostClassifier,0.2616893871830806,25.0,0.316394219379294,0.2733333333333334,pagerank,0.35
68,0.926605504587156,RandomForestClassifier,0.32063492063492066,25.0,0.308868501529052,0.3333333333333333,eigenvector,0.35
69,0.926605504587156,AdaBoostClassifier,0.32063492063492066,25.0,0.308868501529052,0.3333333333333333,eigenvector,0.35
70,0.9207920792079208,RandomForestClassifier,0.3195876288659794,25.0,0.3069306930693069,0.3333333333333333,degree,0.4
71,0.9207920792079208,AdaBoostClassifier,0.3195876288659794,25.0,0.3069306930693069,0.3333333333333333,degree,0.4
72,0.9306930693069307,RandomForestClassifier,0.3213675213675214,25.0,0.31023102310231027,0.3333333333333333,closeness,0.4
73,0.9405940594059405,AdaBoostClassifier,0.6119554204660588,25.0,0.6317966903073285,0.6040189125295509,closeness,0.4
74,0.7128712871287128,RandomForestClassifier,0.32245187045264306,25.0,0.34432606122103837,0.41489361702127664,betweenness,0.4
75,0.7128712871287128,AdaBoostClassifier,0.3227911646586345,25.0,0.34706257982120053,0.4704491725768321,betweenness,0.4
76,0.9207920792079208,RandomForestClassifier,0.3195876288659794,25.0,0.3069306930693069,0.3333333333333333,pagerank,0.4
77,0.9207920792079208,AdaBoostClassifier,0.3195876288659794,25.0,0.3069306930693069,0.3333333333333333,pagerank,0.4
78,0.9207920792079208,RandomForestClassifier,0.3195876288659794,25.0,0.3069306930693069,0.3333333333333333,eigenvector,0.4
79,0.9207920792079208,AdaBoostClassifier,0.3195876288659794,25.0,0.3069306930693069,0.3333333333333333,eigenvector,0.4
80,0.9021739130434783,RandomForestClassifier,0.38823529411764707,25.0,0.3670634920634921,0.4844961240310077,degree,0.45
81,0.5652173913043478,AdaBoostClassifier,0.2743167543710745,25.0,0.34305754822254103,0.5271317829457365,degree,0.45
82,0.9456521739130435,RandomForestClassifier,0.3240223463687151,25.0,0.31521739130434784,0.3333333333333333,closeness,0.45
83,0.9239130434782609,AdaBoostClassifier,0.32196969696969696,25.0,0.31835205992509363,0.3256704980842912,closeness,0.45
84,0.7065217391304348,RandomForestClassifier,0.3400716845878136,25.0,0.3586309523809524,0.5736434108527132,betweenness,0.45
85,0.40217391304347827,AdaBoostClassifier,0.19270833333333334,25.0,0.29365079365079366,0.1434108527131783,betweenness,0.45
86,0.9347826086956522,RandomForestClassifier,0.45530303030303027,25.0,0.48148148148148145,0.44056847545219635,pagerank,0.45
87,0.9239130434782609,AdaBoostClassifier,0.41707717569786534,25.0,0.40151515151515155,0.4366925064599483,pagerank,0.45
88,0.9021739130434783,RandomForestClassifier,0.38823529411764707,25.0,0.3670634920634921,0.4844961240310077,eigenvector,0.45
89,0.5652173913043478,AdaBoostClassifier,0.2743167543710745,25.0,0.34305754822254103,0.5271317829457365,eigenvector,0.45
90,0.9404761904761905,RandomForestClassifier,0.32510288065843623,25.0,0.3172690763052209,0.3333333333333333,degree,0.5
91,0.9404761904761905,AdaBoostClassifier,0.3231083844580777,25.0,0.3134920634920635,0.3333333333333333,degree,0.5
92,0.9404761904761905,RandomForestClassifier,0.3231083844580777,25.0,0.3134920634920635,0.3333333333333333,closeness,0.5
93,0.9404761904761905,AdaBoostClassifier,0.3231083844580777,25.0,0.3134920634920635,0.3333333333333333,closeness,0.5
94,0.6904761904761905,RandomForestClassifier,0.3184830942193137,25.0,0.35217673814165035,0.5666666666666667,betweenness,0.5
95,0.8095238095238095,AdaBoostClassifier,0.5052020808323329,25.0,0.5172470978441127,0.6083333333333333,betweenness,0.5
96,0.9404761904761905,RandomForestClassifier,0.489648033126294,25.0,0.6465863453815262,0.4444444444444444,pagerank,0.5
97,0.9166666666666666,AdaBoostClassifier,0.4159132007233273,25.0,0.39999999999999997,0.4358974358974359,pagerank,0.5
98,0.9404761904761905,RandomForestClassifier,0.3231083844580777,25.0,0.3134920634920635,0.3333333333333333,eigenvector,0.5
99,0.9404761904761905,AdaBoostClassifier,0.3231083844580777,25.0,0.3134920634920635,0.3333333333333333,eigenvector,0.5
